T,JT,Label,phase
20.01,0.033102308600713726,6+,-0.9653476702014018pi
20.75,0.021263597463422768,6+,-0.05177928464291277pi
20.76,0.021290432610405308,6+,-0.052239335829008526pi
20.77,0.02137409667432344,6+,0.9472060806379217pi
20.78,0.015777450626083933,0+,0.020781742268905435pi
20.79,0.016820696295211546,0+,-1.0417339255851379pi
20.8,0.02219972496406719,6+,-0.056885002829478865pi
20.81,0.022367153535373108,6+,-0.055117881109215006pi
20.82,0.022615354451740566,6+,0.9402324574953386pi
20.83,0.02256237982095821,6+,-0.061102303132503234pi
20.84,0.02248613666836874,7+,-0.06413843605506007pi
20.85,0.01645029698837608,7+,-0.03665701814753221pi
20.86,0.011988603532913422,7+,-1.0016084614860825pi
20.87,0.016490878578104384,7+,0.027835776659404583pi
20.88,0.015634542804623397,2+,0.021072115429182525pi
20.89,0.013762043761284426,2+,-1.0153677257870914pi
20.9,0.014835111305371962,2+,-1.045974714149808pi
20.91,0.024109623882030307,6+,-0.06921007918676687pi
20.92,0.025014638949481305,6+,-1.0704159389667725pi
20.93,0.016267396200482565,0+,-0.9442442829408317pi
20.94,0.012137982349215148,0+,-0.006262524558993914pi
20.95,0.021137115930360606,4+,0.06533808289178203pi
20.96,0.011634545559445764,4+,0.034291306237507514pi
20.97,0.010179613647128494,4+,0.0018518919569627905pi
20.98,0.013490168378602063,4+,-1.0301619155293391pi
20.99,0.019762051061124608,4+,0.9378323290209961pi
21.0,0.026639218006372256,6+,0.9232740084780863pi
21.01,0.02723079655227545,6+,-0.07703079756841302pi
21.02,0.01782366448851791,1+,0.06037409113049371pi
21.03,0.010245753271645341,1+,0.028693359084755843pi
21.04,0.010935766199337671,1+,-0.0027247521873950313pi
21.05,0.012443434418191623,1+,-0.03396611334202413pi
21.06,0.01962977233643215,1+,-0.06479576587168302pi
21.07,0.029481029454150987,6+,-0.09248095108944959pi
21.08,0.029795522162240795,6+,-0.08684608296968446pi
21.09,0.01097822923380909,0+,0.027134975534626658pi
21.1,0.01097325841807928,0+,-1.0351024190289817pi
21.11,0.03124314788591065,6+,-1.098560795915681pi
21.12,0.03088955735216936,6+,-0.09666531470247634pi
21.13,0.03241830680976132,6+,-0.09287820248067662pi
21.14,0.0336795020812819,6+,-0.10184874526359902pi
21.15,0.03353274691029795,6+,-0.1048497027119303pi
21.16,0.017752399091017668,7+,0.9357161846341446pi
21.17,0.014742779169931164,2+,0.05192985236861617pi
21.18,0.010268216450648127,7+,-0.9991080810129223pi
21.19,0.010225300887393263,7+,-0.9690667840954644pi
21.2,0.01507357768761719,7+,1.0611104133505562pi
21.21,0.024680683752879018,2+,-1.0816296676551085pi
21.22,0.039926495663086925,2+,-1.1177307842951925pi
21.23,0.040089803670904645,0+,-0.8790081595951599pi
21.24,0.01989973909645637,0+,-0.9396285169907279pi
21.25,0.010103926582143097,0+,-0.0005450111502716286pi
22.0,0.01047914774063774,1+,-0.03707287231787367pi
23.0,0.010217357403570881,3+,-0.9944189284747362pi
24.0,0.009910855659494233,3+,0.9436353336308297pi
25.0,0.009693719733487982,4+,0.03116515711351422pi
26.0,0.009534175989484583,2+,-0.015920677663859666pi
27.0,0.008736804150065836,0+,0.0658097833449622pi
28.0,0.00966949653120941,1+,-1.0040594369242462pi
29.0,0.009955514526119202,2+,-0.0014568793499637198pi
30.0,0.008667130504755094,4+,0.9397163987580488pi
30.93,0.008954850322095198,4+,-0.05467020015461606pi
32.0,0.009538445764008752,7+,-0.02401137824519827pi
33.0,0.0033515461126507606,5+,-0.049507430915732675pi
34.0,0.009612391949580301,5+,0.9913321383158351pi
35.0,0.009618561403302084,5+,0.036815820045735005pi
36.03,0.005331243479614556,0+,0.06047047268878167pi
37.0,0.008726410624762204,6+,-1.046625403504738pi
38.0,0.009848163041576208,3+,1.0338860382287933pi
39.0,0.009310906455414547,3+,-0.03144201693424592pi
40.03,0.004213931509367774,1+,-0.02879197942727175pi
40.98,0.009020517734417366,1+,0.9720661478329894pi
41.95,0.009721556797869346,0+,-0.9675137508601851pi
43.02,0.008444597613842753,4+,0.02708481158972245pi
44.03,0.00741498864694079,2+,-1.0139913667783431pi
45.0,0.00466806110806639,6+,-1.0283837137244218pi
46.0,0.011268080673485503,0+,1.0191871675709627pi
47.0,0.008732351759480284,1+,0.9433334392695152pi
48.0,0.0072954042511447215,4+,-0.9990532877175806pi
48.97,0.014786663708753811,0+,0.9445485299228604pi
50.03,0.005659793016728587,2+,1.018801944901774pi
