# n_row: 16 n_col: 16
# row  col                       real
    0    0     2.8082200884819031E-01
    1    1     8.5358001291751862E-02
    2    2    -1.3642199337482452E-01
    3    3     5.9041999280452728E-02
    4    4    -8.5358001291751862E-02
    5    5    -2.8082200884819031E-01
    6    6    -5.9041999280452728E-02
    7    7     1.3642199337482452E-01
    8    8     1.3642199337482452E-01
    9    9    -5.9041999280452728E-02
   10   10    -2.8082200884819031E-01
   11   11    -8.5358001291751862E-02
   12   12     5.9041999280452728E-02
   13   13    -1.3642199337482452E-01
   14   14     8.5358001291751862E-02
   15   15     2.8082200884819031E-01
