 iter    JT            dJT           ga_int        dt
    0    0.99910839           n/a           n/a    0.67
    1    0.99901294    0.00009545    0.00265442    1.42
    2    0.99890637    0.00010657    0.00280649    1.47
    3    0.99878719    0.00011918    0.00297018    1.86
    4    0.99865365    0.00013353    0.00314661    2.09
    5    0.99850375    0.00014990    0.00333731    2.16
    6    0.99833510    0.00016865    0.00354422    2.07
    7    0.99814489    0.00019020    0.00377138    2.15
    8    0.99792982    0.00021507    0.00402183    2.20
    9    0.99768591    0.00024391    0.00429795    1.90
   10    0.99740840    0.00027751    0.00460215    1.46
   11    0.99709156    0.00031685    0.00493952    1.42
   12    0.99672837    0.00036319    0.00531840    1.45
   13    0.99631027    0.00041810    0.00574500    1.42
   14    0.99582666    0.00048361    0.00622229    1.73
   15    0.99526436    0.00056230    0.00675804    1.75
   16    0.99460678    0.00065757    0.00736609    1.84
   17    0.99383293    0.00077385    0.00805993    1.85
   18    0.99291591    0.00091702    0.00885407    2.09
   19    0.99182099    0.00109492    0.00976626    1.39
   20    0.99050284    0.00131815    0.01082615    1.41
   21    0.98890172    0.00160112    0.01205317    1.42
   22    0.98693815    0.00196357    0.01347865    1.46
   23    0.98450546    0.00243269    0.01513971    1.47
   24    0.98145943    0.00304603    0.01708142    1.40
   25    0.97760417    0.00385526    0.01935760    1.41
   26    0.97267357    0.00493060    0.02201998    1.43
   27    0.96630865    0.00636492    0.02511904    1.37
   28    0.95803394    0.00827471    0.02868415    1.44
   29    0.94724244    0.01079149    0.03269864    1.44
   30    0.93320947    0.01403297    0.03705844    1.45
   31    0.91516783    0.01804164    0.04155190    1.68
   32    0.89247526    0.02269257    0.04590751    2.12
   33    0.86486220    0.02761305    0.04983220    1.84
   34    0.83266268    0.03219953    0.05319230    1.95
   35    0.79688651    0.03577617    0.05568130    2.14
   36    0.75908662    0.03779989    0.05675698    2.24
   37    0.72110192    0.03798470    0.05589755    2.24
   38    0.68472398    0.03637794    0.05329635    2.21
   39    0.65129554    0.03342843    0.05074576    2.04
   40    0.62141368    0.02988186    0.04824417    2.15
   41    0.59497340    0.02644029    0.04522563    2.03
   42    0.57149061    0.02348279    0.04223311    1.94
   43    0.55041496    0.02107565    0.03952759    1.99
   44    0.53127715    0.01913781    0.03721141    1.54
   45    0.51371177    0.01756538    0.03542150    1.44
   46    0.49743698    0.01627479    0.03401311    1.42
   47    0.48223198    0.01520499    0.03279375    1.47
   48    0.46792155    0.01431043    0.03172012    1.48
   49    0.45436591    0.01355564    0.03078522    1.42
   50    0.44145372    0.01291219    0.02996112    1.45
   51    0.42909660    0.01235712    0.02921319    1.49
   52    0.41722472    0.01187187    0.02852053    1.60
   53    0.40578311    0.01144161    0.02787350    1.51
   54    0.39472859    0.01105452    0.02726280    1.59
   55    0.38402730    0.01070130    0.02668518    1.52
   56    0.37365264    0.01037465    0.02613778    1.49
   57    0.36358372    0.01006892    0.02561676    1.82
   58    0.35380397    0.00977974    0.02511896    1.95
   59    0.34430021    0.00950377    0.02464284    2.00
   60    0.33506176    0.00923845    0.02418484    1.66
   61    0.32607989    0.00898187    0.02374317    1.97
   62    0.31734727    0.00873261    0.02331578    1.87
   63    0.30885766    0.00848962    0.02290151    1.81
   64    0.30060552    0.00825213    0.02251019    1.67
   65    0.29258591    0.00801962    0.02214228    1.86
   66    0.28479420    0.00779171    0.02178345    1.91
   67    0.27722604    0.00756816    0.02142809    1.74
   68    0.26987720    0.00734884    0.02107607    1.95
   69    0.26274351    0.00713368    0.02072706    1.94
   70    0.25582085    0.00692266    0.02038097    1.85
   71    0.24910506    0.00671580    0.02003741    1.79
   72    0.24259192    0.00651313    0.01969650    1.85
   73    0.23627719    0.00631473    0.01935863    1.87
