# n_row: 16 n_col: 16
# row  col                       real
    0    8     1.0000000000000000E+00
    1    9     1.0000000000000000E+00
    2   10     1.0000000000000000E+00
    3   11     1.0000000000000000E+00
    4   12     1.0000000000000000E+00
    5   13     1.0000000000000000E+00
    6   14     1.0000000000000000E+00
    7   15     1.0000000000000000E+00
    8    0     1.0000000000000000E+00
    9    1     1.0000000000000000E+00
   10    2     1.0000000000000000E+00
   11    3     1.0000000000000000E+00
   12    4     1.0000000000000000E+00
   13    5     1.0000000000000000E+00
   14    6     1.0000000000000000E+00
   15    7     1.0000000000000000E+00
