 iter    JT            dJT           ga_int        dt
    0    0.98114845           n/a           n/a    0.73
    1    0.94310209    0.03804636    0.07913337    2.14
    2    0.86567230    0.07742979    0.11608705    1.40
    3    0.77099820    0.09467410    0.13486179    1.35
    4    0.67404444    0.09695376    0.12532468    1.29
    5    0.60091890    0.07312553    0.10390107    1.29
    6    0.54710038    0.05381852    0.08325056    1.32
    7    0.49355557    0.05354481    0.08264346    1.30
    8    0.43940637    0.05414920    0.08281485    1.33
    9    0.38697669    0.05242967    0.08120821    1.32
   10    0.33830488    0.04867182    0.07753146    1.31
   11    0.29434860    0.04395628    0.07296530    1.27
   12    0.25545219    0.03889640    0.06784113    1.27
   13    0.22170213    0.03375006    0.06254872    1.27
   14    0.19332784    0.02837430    0.05697684    1.28
   15    0.17025869    0.02306915    0.05145971    1.28
   16    0.15194225    0.01831644    0.04625592    1.31
   17    0.13734999    0.01459226    0.04156338    1.30
   18    0.12550329    0.01184670    0.03777281    1.30
   19    0.11559709    0.00990620    0.03474771    1.27
   20    0.10713980    0.00845728    0.03235618    1.28
   21    0.09974977    0.00739003    0.03034893    1.34
   22    0.09323385    0.00651592    0.02859220    1.31
   23    0.08738678    0.00584707    0.02706520    1.31
   24    0.08214142    0.00524536    0.02569504    1.28
   25    0.07735732    0.00478409    0.02448623    1.28
   26    0.07302984    0.00432748    0.02335670    1.28
   27    0.06903871    0.00399114    0.02233997    1.27
   28    0.06541824    0.00362047    0.02138288    1.28
   29    0.06204815    0.00337009    0.02053233    1.30
   30    0.05899343    0.00305472    0.01967574    1.28
   31    0.05612355    0.00286987    0.01900333    1.28
   32    0.05353175    0.00259180    0.01819827    1.28
   33    0.05107140    0.00246036    0.01768445    1.29
   34    0.04886362    0.00220777    0.01692629    1.28
   35    0.04674197    0.00212165    0.01655708    1.27
   36    0.04485577    0.00188620    0.01584407    1.27
   37    0.04301632    0.00183945    0.01560707    1.28
   38    0.04140135    0.00161497    0.01495246    1.28
   39    0.03979848    0.00160287    0.01483584    1.27
   40    0.03841373    0.00138475    0.01426609    1.27
   41    0.03701036    0.00140338    0.01427701    1.28
   42    0.03582222    0.00118813    0.01382986    1.31
   43    0.03458814    0.00123408    0.01397337    1.26
   44    0.03356895    0.00101919    0.01371239    1.30
   45    0.03247953    0.00108942    0.01399622    1.30
   46    0.03160643    0.00087310    0.01399313    1.28
   47    0.03064159    0.00096484    0.01432034    1.29
   48    0.02989565    0.00074594    0.01468048    1.32
   49    0.02903899    0.00085666    0.01504230    1.28
   50    0.02840449    0.00063450    0.01573087    1.30
   51    0.02764261    0.00076187    0.01621399    1.28
   52    0.02710642    0.00053619    0.01714614    1.28
   53    0.02642838    0.00067804    0.01767619    1.27
   54    0.02597947    0.00044890    0.01885118    1.29
   55    0.02537625    0.00060322    0.01926778    1.31
   56    0.02500533    0.00037093    0.02071057    1.28
   57    0.02446947    0.00053586    0.02098787    1.27
   58    0.02416857    0.00030090    0.02269183    1.29
   59    0.02369382    0.00047475    0.02282778    1.28
   60    0.02345609    0.00023773    0.02474798    1.29
   61    0.02303715    0.00041894    0.02477925    1.27
   62    0.02285657    0.00018058    0.02687104    1.29
   63    0.02248883    0.00036774    0.02683910    1.31
   64    0.02236005    0.00012878    0.02904971    1.32
   65    0.02203944    0.00032061    0.02898175    1.30
   66    0.02195760    0.00008183    0.03127117    1.27
   67    0.02168040    0.00027721    0.03118837    1.29
   68    0.02164103    0.00003936    0.03352519    1.34
   69    0.02140376    0.00023727    0.03345404    1.28
   70    0.02140266    0.00000110    0.03580473    1.28
   71    0.02120200    0.00020066    0.03574671    1.28
   72 monotonicity breaks, JT_new = 0.02123515956880162, increase lambda_a by a factor of 2.
   73    0.01776573    0.00343627    0.02203381    1.30
   74    0.01746980    0.00029593    0.00499251    1.30
   75    0.01731371    0.00015609    0.00302728    1.28
   76    0.01716410    0.00014961    0.00295197    1.28
   77    0.01701737    0.00014673    0.00291072    1.27
   78    0.01687279    0.00014457    0.00288559    1.29
   79    0.01673037    0.00014242    0.00286020    1.28
   80    0.01659002    0.00014035    0.00283629    1.28
   81    0.01645169    0.00013834    0.00281298    1.32
   82    0.01631531    0.00013638    0.00279028    1.28
   83    0.01618084    0.00013447    0.00276803    1.28
   84    0.01604823    0.00013261    0.00274616    1.30
   85    0.01591743    0.00013080    0.00272471    1.30
   86    0.01578840    0.00012903    0.00270363    1.28
   87    0.01566109    0.00012731    0.00268290    1.30
   88    0.01553546    0.00012563    0.00266256    1.32
   89    0.01541146    0.00012399    0.00264257    1.30
   90    0.01528907    0.00012239    0.00262289    1.31
   91    0.01516824    0.00012083    0.00260356    1.30
   92    0.01504894    0.00011930    0.00258457    1.28
   93    0.01493112    0.00011781    0.00256587    1.27
   94    0.01481476    0.00011636    0.00254747    1.33
   95    0.01469983    0.00011493    0.00252936    1.30
   96    0.01458629    0.00011354    0.00251152    1.33
   97    0.01447411    0.00011218    0.00249396    1.28
   98    0.01436326    0.00011085    0.00247671    1.30
   99    0.01425372    0.00010954    0.00245972    1.32
  100    0.01414545    0.00010827    0.00244299    1.32
  101    0.01403844    0.00010702    0.00242655    1.30
  102    0.01393265    0.00010579    0.00241039    1.27
  103    0.01382805    0.00010459    0.00239447    1.28
  104    0.01372464    0.00010342    0.00237879    1.28
  105    0.01362237    0.00010227    0.00236335    1.27
  106    0.01352123    0.00010114    0.00234815    1.28
  107    0.01342121    0.00010003    0.00233315    1.30
  108    0.01332227    0.00009894    0.00231836    1.27
  109    0.01322439    0.00009787    0.00230379    1.29
  110    0.01312756    0.00009683    0.00228943    1.29
  111    0.01303176    0.00009580    0.00227526    1.30
  112    0.01293697    0.00009479    0.00226128    1.33
  113    0.01284317    0.00009380    0.00224751    1.30
  114    0.01275035    0.00009282    0.00223390    1.33
  115    0.01265848    0.00009187    0.00222048    1.30
  116    0.01256756    0.00009093    0.00220723    1.29
  117    0.01247756    0.00009000    0.00219417    1.31
  118    0.01238847    0.00008909    0.00218126    1.27
  119    0.01230027    0.00008819    0.00216851    1.28
  120    0.01221296    0.00008731    0.00215593    1.35
  121    0.01212651    0.00008645    0.00214352    1.31
  122    0.01204092    0.00008559    0.00213125    1.29
  123    0.01195617    0.00008475    0.00211914    1.28
  124    0.01187225    0.00008392    0.00210717    1.30
  125    0.01178914    0.00008311    0.00209535    1.28
  126    0.01170683    0.00008230    0.00208366    1.28
  127    0.01162532    0.00008151    0.00207209    1.27
  128    0.01154459    0.00008073    0.00206064    1.28
  129    0.01146463    0.00007996    0.00204932    1.27
  130    0.01138542    0.00007920    0.00203813    1.29
  131    0.01130697    0.00007845    0.00202707    1.31
  132    0.01122925    0.00007772    0.00201613    1.31
  133    0.01115226    0.00007699    0.00200530    1.32
  134    0.01107599    0.00007627    0.00199458    1.29
  135    0.01100043    0.00007556    0.00198396    1.26
  136    0.01092558    0.00007486    0.00197343    1.27
  137    0.01085141    0.00007417    0.00196301    1.32
  138    0.01077793    0.00007348    0.00195269    1.29
  139    0.01070512    0.00007281    0.00194247    1.29
  140    0.01063297    0.00007214    0.00193234    1.31
  141    0.01056149    0.00007148    0.00192231    1.33
  142    0.01049066    0.00007083    0.00191236    1.31
  143    0.01042047    0.00007019    0.00190251    1.31
  144    0.01035091    0.00006955    0.00189275    1.27
  145    0.01028199    0.00006893    0.00188306    1.30
  146    0.01021368    0.00006830    0.00187346    1.32
  147    0.01014599    0.00006769    0.00186394    1.30
  148    0.01007891    0.00006708    0.00185450    1.29
  149    0.01001243    0.00006648    0.00184515    1.28
  150    0.00994654    0.00006589    0.00183587    1.27
stop condition met (JT_iter[-1] < 0.01: True, ¦¤JT < 1e-07: False), break
