# n_row: 16
# col                       real                       imag
    0     2.6953587862715600E-01     8.1474229080908220E-02
    1    -7.1256132803469022E-03     2.3215942168537979E-02
    2    -5.2462408107583930E-02     9.2959416612080806E-02
    3    -1.7461307544135985E-02     1.3387337761842583E-01
    4     1.0555745670981335E-01    -2.5611713822607779E-01
    5    -1.8755638731131452E-01    -1.0261755653269074E-01
    6    -6.5098468063760255E-03    -1.4443673796420542E-01
    7    -2.4312432947638130E-01     4.3773199209419456E-01
    8    -2.0263726421422881E-01    -4.6249228975418966E-01
    9     2.1733257281370540E-02    -1.3077532036188444E-01
   10     1.8032532711096769E-01    -8.3668966263875377E-02
   11     1.9993998781185102E-01    -1.9151008948551249E-01
   12    -1.2179387118496486E-01     2.7355220358139039E-02
   13    -4.4092320870291359E-04     9.7447157124825434E-02
   14    -4.7766690108173235E-03     2.7508222083680197E-02
   15     2.8427413030097282E-01    -3.2524285020867079E-02
