#                  time                       real
 2.5018749999999999E-02     9.5128885289094342E-03
 7.5056249999999991E-02     2.7973002603367537E-02
 1.2509375000000000E-01     4.5651001225434099E-02
 1.7513124999999999E-01     6.2504299240672717E-02
 2.2516875000000000E-01     7.8476961475500900E-02
 2.7520624999999999E-01     9.3499089426892917E-02
 3.2524374999999994E-01     1.0748960031346513E-01
 3.7528124999999996E-01     1.2036253580827991E-01
 4.2531874999999997E-01     1.3203655278298854E-01
 4.7535624999999998E-01     1.4244674639522958E-01
 5.2539374999999999E-01     1.5155750064105172E-01
 5.7543124999999995E-01     1.5937472423779661E-01
 6.2546874999999991E-01     1.6595567856130614E-01
 6.7550624999999997E-01     1.7141469092856726E-01
 7.2554374999999993E-01     1.7592339180629063E-01
 7.7558125000000000E-01     1.7970469839300460E-01
 8.2561874999999996E-01     1.8302052495192711E-01
 8.7565624999999991E-01     1.8615403001941327E-01
 9.2569374999999998E-01     1.8938798850500002E-01
 9.7573124999999994E-01     1.9298148033503615E-01
 1.0257687500000001E+00     1.9699632095989328E-01
 1.0758062500000001E+00     2.0069068725489886E-01
 1.1258437500000000E+00     2.0395620859597746E-01
 1.1758812500000000E+00     2.0681354868236104E-01
 1.2259187499999999E+00     2.0928306153237689E-01
 1.2759562500000001E+00     2.1138460217061633E-01
 1.3259937500000001E+00     2.1313733914553412E-01
 1.3760312500000000E+00     2.1455957209710835E-01
 1.4260687500000000E+00     2.1566855759333953E-01
 1.4761062500000000E+00     2.1648034637387378E-01
 1.5261437500000001E+00     2.1700963498155842E-01
 1.5761812500000001E+00     2.1726963453297474E-01
 1.6262187500000000E+00     2.1727195908318575E-01
 1.6762562500000000E+00     2.1702653568657831E-01
 1.7262937500000000E+00     2.1654153785356628E-01
 1.7763312500000001E+00     2.1582334366261824E-01
 1.8263687500000001E+00     2.1487651931922208E-01
 1.8764062500000001E+00     2.1370382846928188E-01
 1.9264437500000000E+00     2.1230626708561592E-01
 1.9764812500000000E+00     2.1068312326396971E-01
 2.0265187500000001E+00     2.0883206080050648E-01
 2.0765562499999999E+00     2.0674922498691700E-01
 2.1265937500000001E+00     2.0442936866191519E-01
 2.1766312500000002E+00     2.0186599620859114E-01
 2.2266687500000000E+00     1.9905152289338085E-01
 2.2767062500000002E+00     1.9597744671127068E-01
 2.3267437499999999E+00     1.9263452973837414E-01
 2.3767812500000001E+00     1.8901298590011872E-01
