#                  time                       real
 2.5018749999999999E-02     1.6169376541916115E-02
 7.5056249999999991E-02     4.7715595844565015E-02
 1.2509375000000000E-01     7.8204946799251968E-02
 1.7513124999999999E-01     1.0764084476828906E-01
 2.2516875000000000E-01     1.3602504219177072E-01
 2.7520624999999999E-01     1.6335178606931117E-01
 3.2524374999999994E-01     1.8960350002471976E-01
 3.7528124999999996E-01     2.1474876369185358E-01
 4.2531874999999997E-01     2.3874306393524020E-01
 4.7535624999999998E-01     2.6153241803477234E-01
 5.2539374999999999E-01     2.8305956020181788E-01
 5.7543124999999995E-01     3.0327199031963936E-01
 6.2546874999999991E-01     3.2213086191508994E-01
 6.7550624999999997E-01     3.3961948589175850E-01
 7.2554374999999993E-01     3.5575018650122681E-01
 7.7558125000000000E-01     3.7056838545632992E-01
 8.2561874999999996E-01     3.8415310204263980E-01
 8.7565624999999991E-01     3.9661350657332439E-01
 9.2569374999999998E-01     4.0808169179605758E-01
 9.7573124999999994E-01     4.1870235590900812E-01
 1.0257687500000001E+00     4.2858948697701138E-01
 1.0758062500000001E+00     4.3766190694678453E-01
 1.1258437500000000E+00     4.4591936104418883E-01
 1.1758812500000000E+00     4.5338466990945425E-01
 1.2259187499999999E+00     4.6008042607577271E-01
 1.2759562500000001E+00     4.6602884818157797E-01
 1.3259937500000001E+00     4.7125163780251522E-01
 1.3760312500000000E+00     4.7576984181168008E-01
 1.4260687500000000E+00     4.7960372310536825E-01
 1.4761062500000000E+00     4.8277264238192197E-01
 1.5261437500000001E+00     4.8529495343920115E-01
 1.5761812500000001E+00     4.8718791416896806E-01
 1.6262187500000000E+00     4.8846761508352110E-01
 1.6762562500000000E+00     4.8914892682258615E-01
 1.7262937500000000E+00     4.8924546766810018E-01
 1.7763312500000001E+00     4.8876959165386502E-01
 1.8263687500000001E+00     4.8773239740852847E-01
 1.8764062500000001E+00     4.8614375742577443E-01
 1.9264437500000000E+00     4.8401236702722988E-01
 1.9764812500000000E+00     4.8134581188128267E-01
 2.0265187500000001E+00     4.7815065257492295E-01
 2.0765562499999999E+00     4.7443252441375106E-01
 2.1265937500000001E+00     4.7019625035415802E-01
 2.1766312500000002E+00     4.6544596475709704E-01
 2.2266687500000000E+00     4.6018524549777823E-01
 2.2767062500000002E+00     4.5441725187222265E-01
 2.3267437499999999E+00     4.4814486571057310E-01
 2.3767812500000001E+00     4.4137083313616388E-01
 2.4268187499999998E+00     4.3409790449649588E-01
 2.4768562500000000E+00     4.2632897013269877E-01
 2.5268937500000002E+00     4.1806718984208918E-01
 2.5769312499999999E+00     4.0931611411781649E-01
 2.6269687500000001E+00     4.0007979551195560E-01
 2.6770062499999998E+00     3.9036288875637820E-01
 2.7270437500000000E+00     3.8017073857996697E-01
 2.7770812500000002E+00     3.6950945447267336E-01
 2.8271187499999999E+00     3.5838597195813615E-01
 2.8771562500000001E+00     3.4680810023794179E-01
 2.9271937499999998E+00     3.3478455635543225E-01
 2.9772312500000000E+00     3.2232498628711409E-01
 3.0272687500000002E+00     3.0943997359996173E-01
 3.0773062499999999E+00     2.9614103650809742E-01
 3.1273437500000001E+00     2.8244061431837142E-01
 3.1773812499999998E+00     2.6835204436970350E-01
 3.2274187500000000E+00     2.5388953064367387E-01
 3.2774562500000002E+00     2.3906810525462607E-01
 3.3274937499999999E+00     2.2390358401774374E-01
 3.3775312500000001E+00     2.0841251724535817E-01
 3.4275687499999998E+00     1.9261213683956441E-01
 3.4776062500000000E+00     1.7652030063636406E-01
 3.5276437500000002E+00     1.6015543481902933E-01
 3.5776812499999999E+00     1.4353647506118794E-01
 3.6277187500000001E+00     1.2668280688926936E-01
 3.6777562499999998E+00     1.0961420557582267E-01
 3.7277937500000000E+00     9.2350775695503914E-02
 3.7778312500000002E+00     7.4912890300839044E-02
