# n_row: 16 n_col: 16
# row  col                       real
    0    2     1.0000000000000000E+00
    1    3     1.0000000000000000E+00
    2    0     1.0000000000000000E+00
    3    1     1.0000000000000000E+00
    4    6     1.0000000000000000E+00
    5    7     1.0000000000000000E+00
    6    4     1.0000000000000000E+00
    7    5     1.0000000000000000E+00
    8   10     1.0000000000000000E+00
    9   11     1.0000000000000000E+00
   10    8     1.0000000000000000E+00
   11    9     1.0000000000000000E+00
   12   14     1.0000000000000000E+00
   13   15     1.0000000000000000E+00
   14   12     1.0000000000000000E+00
   15   13     1.0000000000000000E+00
