# n_row: 16 n_col: 16
# row  col                       real
    0    0     4.0000000000000000E+00
    1    1     6.0000000000000000E+00
    2    2     3.0000000000000000E+00
    3    3     7.0000000000000000E+00
    4    4     8.0000000000000000E+00
    5    5     2.0000000000000000E+00
    6    6     5.0000000000000000E+00
    7    7     1.0000000000000000E+00
    8    8     1.0000000000000000E+00
    9    9     5.0000000000000000E+00
   10   10     2.0000000000000000E+00
   11   11     8.0000000000000000E+00
   12   12     7.0000000000000000E+00
   13   13     3.0000000000000000E+00
   14   14     6.0000000000000000E+00
   15   15     4.0000000000000000E+00
