# n_row: 16 n_col: 16
# row  col                       real
    0    4     1.0000000000000000E+00
    1    5     1.0000000000000000E+00
    2    6     1.0000000000000000E+00
    3    7     1.0000000000000000E+00
    4    0     1.0000000000000000E+00
    5    1     1.0000000000000000E+00
    6    2     1.0000000000000000E+00
    7    3     1.0000000000000000E+00
    8   12     1.0000000000000000E+00
    9   13     1.0000000000000000E+00
   10   14     1.0000000000000000E+00
   11   15     1.0000000000000000E+00
   12    8     1.0000000000000000E+00
   13    9     1.0000000000000000E+00
   14   10     1.0000000000000000E+00
   15   11     1.0000000000000000E+00
