# n_row: 16 n_col: 16
# row  col                       real                       imag
    0   15    -2.3526609039462265E-01     2.1873842521857996E+00
    1   14    -1.5656136763294195E+00    -1.5455917366789587E+00
    2   13    -5.8390070075476774E-01     2.1210987651823507E+00
    3   12    -1.2967387571865705E+00    -1.7772080901262599E+00
    4   11     6.3248007959677854E-01     2.1071233824608502E+00
    5   10    -2.0428886214218238E+00    -8.1645947876501457E-01
    6    9     2.8546044840393725E-01     2.1814014606204477E+00
    7    8    -1.8850367077554016E+00    -1.1343000530788476E+00
    8    7    -1.8850367077554016E+00     1.1343000530788476E+00
    9    6     2.8546044840393725E-01    -2.1814014606204477E+00
   10    5    -2.0428886214218238E+00     8.1645947876501457E-01
   11    4     6.3248007959677854E-01    -2.1071233824608502E+00
   12    3    -1.2967387571865705E+00     1.7772080901262599E+00
   13    2    -5.8390070075476774E-01    -2.1210987651823507E+00
   14    1    -1.5656136763294195E+00     1.5455917366789587E+00
   15    0    -2.3526609039462265E-01    -2.1873842521857996E+00
