#                  time                       real
 1.2506250000000002E-02    -1.3376916891081035E-03
 3.7518750000000003E-02    -2.3972987397584949E-03
 6.2531249999999997E-02    -1.2385803515431661E-03
 8.7543750000000004E-02     2.2543205360725138E-03
 1.1255625000000000E-01     8.2378296800519092E-03
 1.3756874999999999E-01     1.6902081922515265E-02
 1.6258125000000001E-01     2.8461475020632055E-02
 1.8759375000000000E-01     4.3142601222063412E-02
 2.1260625000000000E-01     6.1169636997250740E-02
 2.3761874999999999E-01     8.2747431624958276E-02
 2.6263124999999998E-01     1.0804274685424178E-01
 2.8764374999999998E-01     1.3716436297920723E-01
 3.1265625000000002E-01     1.7014307057981898E-01
 3.3766875000000002E-01     2.0691288581242767E-01
 3.6268125000000001E-01     2.4729511642753979E-01
 3.8769375000000000E-01     2.9098710418229251E-01
 4.1270625000000000E-01     3.3755750363019188E-01
 4.3771874999999999E-01     3.8644975385759139E-01
 4.6273124999999998E-01     4.3699490271101082E-01
 4.8774374999999998E-01     4.8843413597095742E-01
 5.1275625000000002E-01     5.3995029052525778E-01
 5.3776875000000002E-01     5.9070640750398107E-01
 5.6278125000000001E-01     6.3988819481310943E-01
 5.8779375000000000E-01     6.8674634967228132E-01
 6.1280625000000011E-01     7.3063427026107908E-01
 6.3781875000000010E-01     7.7103692954479242E-01
 6.6283125000000009E-01     8.0758764262005611E-01
 6.8784375000000009E-01     8.4007102544760004E-01
 7.1285625000000008E-01     8.6841236038460989E-01
 7.3786875000000007E-01     8.9265549335429639E-01
 7.6288125000000007E-01     9.1293291311350577E-01
 7.8789375000000006E-01     9.2943250989634962E-01
 8.1290625000000005E-01     9.4236554222530167E-01
 8.3791875000000005E-01     9.5193961106187996E-01
 8.6293125000000004E-01     9.5833917040919459E-01
 8.8794375000000003E-01     9.6171460939434150E-01
 9.1295625000000002E-01     9.6217954334182698E-01
 9.3796875000000002E-01     9.5981489415644938E-01
 9.6298125000000001E-01     9.5467774405644068E-01
 9.8799375000000000E-01     9.4681280573815563E-01
 1.0130062499999999E+00     9.3685361648455223E-01
 1.0380187500000000E+00     9.2801961949317235E-01
 1.0630312499999999E+00     9.2060966668458555E-01
 1.0880437500000000E+00     9.1443374542796363E-01
 1.1130562499999999E+00     9.0932494692905830E-01
 1.1380687500000000E+00     9.0513486726812742E-01
 1.1630812499999998E+00     9.0173008976752056E-01
 1.1880937499999999E+00     8.9898950490110574E-01
 1.2131062500000001E+00     8.9680227761288078E-01
 1.2381187499999999E+00     8.9506631383475255E-01
 1.2631312500000000E+00     8.9368711070378914E-01
 1.2881437499999999E+00     8.9257690048341687E-01
 1.3131562500000000E+00     8.9165401805331856E-01
 1.3381687499999999E+00     8.9084243729446277E-01
 1.3631812500000000E+00     8.9007143372928144E-01
 1.3881937499999999E+00     8.8927534014388598E-01
 1.4132062500000000E+00     8.8839336922189649E-01
 1.4382187499999999E+00     8.8736948292003559E-01
 1.4632312500000000E+00     8.8615229278344232E-01
 1.4882437499999999E+00     8.8469497891212323E-01
 1.5132562500000000E+00     8.8295521807261990E-01
 1.5382687499999999E+00     8.8089511366486073E-01
 1.5632812500000000E+00     8.7848112203712692E-01
 1.5882937499999998E+00     8.7568397108553597E-01
 1.6133062499999999E+00     8.7247856825721704E-01
 1.6383187500000000E+00     8.6884389604842394E-01
 1.6633312499999999E+00     8.6476289389830985E-01
 1.6883437500000000E+00     8.6022232604673055E-01
 1.7133562499999999E+00     8.5521263548417981E-01
 1.7383687500000000E+00     8.4972778457807041E-01
 1.7633812499999999E+00     8.4376508333403821E-01
 1.7883937500000000E+00     8.3732500654724129E-01
 1.8134062499999999E+00     8.3041100132607326E-01
 1.8384187500000000E+00     8.2302928663664665E-01
 1.8634312499999999E+00     8.1518864662437873E-01
 1.8884437500000000E+00     8.0690021952683599E-01
 1.9134562499999999E+00     7.9817728400287824E-01
 1.9384687500000000E+00     7.8903504467502728E-01
 1.9634812499999998E+00     7.7949041861731871E-01
 1.9884937499999999E+00     7.6956182442847010E-01
 2.0135062499999998E+00     7.5926897541240368E-01
 2.0385187500000002E+00     7.4863267825251856E-01
 2.0635312500000000E+00     7.3767463841676217E-01
 2.0885437499999999E+00     7.2641727337159634E-01
 2.1135562499999998E+00     7.1488353451949993E-01
 2.1385687500000001E+00     7.0309673861203426E-01
 2.1635812500000000E+00     6.9108040922747582E-01
 2.1885937499999999E+00     6.7885812874735008E-01
 2.2136062499999998E+00     6.6645340111710261E-01
 2.2386187500000001E+00     6.5388952553956980E-01
 2.2636312500000000E+00     6.4118948112110552E-01
 2.2886437499999999E+00     6.2837582237646783E-01
 2.3136562499999997E+00     6.1547058539541155E-01
 2.3386687500000001E+00     6.0249520438634196E-01
 2.3636812500000000E+00     5.8947043823461498E-01
 2.3886937499999998E+00     5.7641630665061094E-01
 2.4137062500000002E+00     5.6335203543013534E-01
 2.4387187500000000E+00     5.5029601031225395E-01
 2.4637312499999999E+00     5.3726573888746998E-01
 2.4887437499999998E+00     5.2427781999177980E-01
 2.5137562500000001E+00     5.1134792001173124E-01
 2.5387687500000000E+00     4.9849075552220312E-01
 2.5637812499999999E+00     4.8572008168407549E-01
 2.5887937499999998E+00     4.7304868583868803E-01
 2.6138062500000001E+00     4.6048838575314432E-01
